트와이스,,,0,NNP,*,F,트와이스,*,*,*,*
가즈아,,,0,NNP,*,F,가즈아,*,*,*,*
가자,,,0,NNP,*,F,가자,*,*,*,*
메디,,,0,NNP,*,F,메디,*,*,*,*
메덱스,,,0,NNP,*,F,메덱스,*,*,*,*
바낸,,,0,NNP,*,F,바낸,*,*,*,*
바이낸스,,,0,NNP,*,F,바이낸스,*,*,*,*
상장,,,0,NNP,*,F,상장,*,*,*,*
메디엑스,,,0,NNP,*,F,메디엑스,*,*,*,*
앱,,,0,NNP,*,F,앱,*,*,*,*
어플,,,0,NNP,*,F,어플,*,*,*,*
애플,,,0,NNP,*,F,애플,*,*,*,*
떡상,,,0,NNP,*,F,떡상,*,*,*,*
떡락,,,0,NNP,*,F,떡락,*,*,*,*
코인,,,0,NNP,*,F,코인,*,*,*,*
비트,,,0,NNP,*,F,비트,*,*,*,*
스알,,,0,NNP,*,F,스알,*,*,*,*
미르,,,0,NNP,*,F,미르,*,*,*,*
루나,,,0,NNP,*,F,루나,*,*,*,*
덴트,,,0,NNP,*,F,덴트,*,*,*,*
긍정회로,,,0,NNP,*,F,긍정회로,*,*,*,*
저점,,,0,NNP,*,F,저점,*,*,*,*
하즈아,,,0,NNP,*,F,하즈아,*,*,*,*
메디블록,,,0,NNP,*,F,메디블록,*,*,*,*
수수료,,,0,NNP,*,F,수수료,*,*,*,*
btc,,,0,NNP,*,F,btc,*,*,*,*
한화,,,0,NNP,*,F,한화,*,*,*,*
고인,,,0,NNP,*,F,고인,*,*,*,*
흑우,,,0,NNP,*,F,흑우,*,*,*,*
뇌피셜,,,0,NNP,*,F,뇌피셜,*,*,*,*
가쟈,,,0,NNP,*,F,가쟈,*,*,*,*
약올림,,,0,NNP,*,F,약올림,*,*,*,*
약울림,,,0,NNP,*,F,약울림,*,*,*,*
베타테스터,,,0,NNP,*,F,베타테스터,*,*,*,*
호재,,,0,NNP,*,F,호재,*,*,*,*
시그널,,,0,NNP,*,F,시그널,*,*,*,*
매수,,,0,NNP,*,F,매수,*,*,*,*
매도,,,0,NNP,*,F,메도,*,*,*,*
몰빵,,,0,NNP,*,F,몰빵,*,*,*,*
올인,,,0,NNP,*,F,올인,*,*,*,*
매디액스,,,0,NNP,*,F,메디액스,*,*,*,*
매집,,,0,NNP,*,F,매집,*,*,*,*
세력,,,0,NNP,*,F,세력,*,*,*,*
아쇼,,,0,NNP,*,F,아쇼,*,*,*,*
물량,,,0,NNP,*,F,물량,*,*,*,*
먹튀,,,0,NNP,*,F,먹튀,*,*,*,*
드러와,,,0,NNP,*,F,드러와,*,*,*,*
드루와,,,0,NNP,*,F,드루와,*,*,*,*
2배,,,0,NNP,*,F,2배,*,*,*,*
3배,,,0,NNP,*,F,3배,*,*,*,*
4배,,,0,NNP,*,F,4배,*,*,*,*
5배,,,0,NNP,*,F,5배,*,*,*,*
ico,,,0,NNP,*,F,ico,*,*,*,*
스캠,,,0,NNP,*,F,스캠,*,*,*,*
좆썸,,,0,NNP,*,F,좆썸,*,*,*,*
빗썸,,,0,NNP,*,F,빗썸,*,*,*,*
업빗,,,0,NNP,*,F,업빗,*,*,*,*
업비트,,,0,NNP,*,F,업비트,*,*,*,*
흑두루미,,,0,NNP,*,F,흑두루미,*,*,*,*
김치,,,0,NNP,*,F,김치,*,*,*,*
김치코인,,,0,NNP,*,F,김치코인,*,*,*,*
이더,,,0,NNP,*,F,이더,*,*,*,*
이더리움,,,0,NNP,*,F,이더리움,*,*,*,*
리플,,,0,NNP,*,F,리플,*,*,*,*
비코,,,0,NNP,*,F,비코,*,*,*,*
저점,,,0,NNP,*,F,저점,*,*,*,*
갱신,,,0,NNP,*,F,갱신,*,*,*,*
거래소,,,0,NNP,*,F,거래소,*,*,*,*
물림,,,0,NNP,*,F,물림,*,*,*,*
물렸,,,0,NNP,*,F,물렸,*,*,*,*
코인이즈,,,0,NNP,*,F,코인이즈,*,*,*,*
고인이즈,,,0,NNP,*,F,고인이즈,*,*,*,*
DB,,,0,NNP,*,F,DB,*,*,*,*
디비,,,0,NNP,*,F,디비,*,*,*,*
코인레일,,,0,NNP,*,F,코인레일,*,*,*,*
고인레일,,,0,NNP,*,F,고인레일,*,*,*,*
코인네스트,,,0,NNP,*,F,코인네스트,*,*,*,*
고인네스트,,,0,NNP,*,F,고인네스트,*,*,*,*
퀀텀,,,0,NNP,*,F,퀀텀,*,*,*,*
똥텀,,,0,NNP,*,F,똥텀,*,*,*,*
빛텀,,,0,NNP,*,F,빛텀,*,*,*,*
에이미,,,0,NNP,*,F,에이미,*,*,*,*
ㅅㅂ,,,0,NNP,*,F,ㅅㅂ,*,*,*,*
시발,,,0,NNP,*,F,시발,*,*,*,*
시바,,,0,NNP,*,F,시바,*,*,*,*
좆같네,,,0,NNP,*,F,좆같네,*,*,*,*
ㅈ같네,,,0,NNP,*,F,ㅈ같네,*,*,*,*
졎같네,,,0,NNP,*,F,졎같네,*,*,*,*
좆같다,,,0,NNP,*,F,좆같다,*,*,*,*
좆됐다,,,0,NNP,*,F,좆됐다,*,*,*,*
ㅈ댔다,,,0,NNP,*,F,ㅈ댔다,*,*,*,*
좃같다,,,0,NNP,*,F,좃같다,*,*,*,*
좃댔다,,,0,NNP,*,F,좃댔다,*,*,*,*
잦같네,,,0,NNP,*,F,잦같네,*,*,*,*
쟞같네,,,0,NNP,*,F,쟞같네,*,*,*,*
잦댔다,,,0,NNP,*,F,잦댔다,*,*,*,*
ㅂㅅ,,,0,NNP,*,F,ㅂㅅ,*,*,*,*
병신,,,0,NNP,*,F,병신,*,*,*,*
븅신,,,0,NNP,*,F,븅신,*,*,*,*
ㅄ,,,0,NNP,*,F,ㅄ,*,*,*,*
여소야대,,,0,NNP,*,F,여소야대,*,*,*,*
OECD,,,0,NNP,*,F,OECD,*,*,*,*
SK,,,0,NNP,*,F,SK,*,*,*,*
